courseid,classname,units,subject
CBNS150,Cancer Biology,4,Cell Biology and Neuroscience 
CBNS165,Stem Cell Biology,4,Cell Biology and Neuroscience 
CBNS169,Human Embryology,4,Cell Biology and Neuroscience 
CBNS190,Special Studies 1 to,4,Cell Biology and Neuroscience 
CBNS194,Independent Reading 1 to,2,Cell Biology and Neuroscience 
CBNS197,Research For Undergraduates 1 to,4,Cell Biology and Neuroscience 
CBNS198I,Individual Internship 1 to,12,Cell Biology and Neuroscience 
CBNS199,Senior Research 1 to,4,Cell Biology and Neuroscience 
CBNS240,"Special Topics in Scientific Rigor in Molecular, Cell and Systems Biology Research 1 or",2,Cell Biology and Neuroscience 
CEE010,Introduction to Chemical and Environmental Engineering,1,Chemical and Environmental Engineeering
CEE011,Introduction to Bioengineering,2,Chemical and Environmental Engineeering
CEE125,Analytical Methods For Chemical and Environmental Engineers,4,Chemical and Environmental Engineeering
CEE132,Green Engineering,4,Chemical and Environmental Engineeering
CEE135,Chemistry of Materials,4,Chemical and Environmental Engineeering
CEE136,Aerosol Technology,4,Chemical and Environmental Engineeering
CEE140A,Biomaterials,4,Chemical and Environmental Engineeering
CEE140B,Biomaterials,4,Chemical and Environmental Engineeering
CEE158,Professional Development For Engineers,3,Chemical and Environmental Engineeering
CEE159,Dynamics of Biological Systems,4,Chemical and Environmental Engineeering
CEE197,Research For Undergraduates 1 to,4,Chemical and Environmental Engineeering
CEE200,Advanced Engineering Computation,4,Chemical and Environmental Engineeering
CEE200,Advanced Engineering Computation,4,Chemical and Environmental Engineeering
CEE202,Transport Phenomena,4,Chemical and Environmental Engineeering
CEE202,Transport Phenomena,4,Chemical and Environmental Engineeering
CEE203,"Biomass Conversion to Fuels, Chemicals, Materials, and Power",4,Chemical and Environmental Engineeering
CEE203,"Biomass Conversion to Fuels, Chemicals, Materials, and Power",4,Chemical and Environmental Engineeering
CEE204,Advanced Kinetics and Reaction Engineering,4,Chemical and Environmental Engineeering
CEE204,Advanced Kinetics and Reaction Engineering,4,Chemical and Environmental Engineeering
CEE206,Advanced Chemical Engineering Thermodynamics,4,Chemical and Environmental Engineeering
CEE206,Advanced Chemical Engineering Thermodynamics,4,Chemical and Environmental Engineeering
CEE207,Air Quality Modeling,4,Chemical and Environmental Engineeering
CEE207,Air Quality Modeling,4,Chemical and Environmental Engineeering
CEE208,Product Design and Entrepreneurship For Agricultural and Biological Applications,3,Chemical and Environmental Engineeering
CEE208,Product Design and Entrepreneurship For Agricultural and Biological Applications,3,Chemical and Environmental Engineeering
CEE210,Cell Engineering,4,Chemical and Environmental Engineeering
CEE210,Cell Engineering,4,Chemical and Environmental Engineeering
CEE211,Upstream Processes in Biotechnology,4,Chemical and Environmental Engineeering
CEE211,Upstream Processes in Biotechnology,4,Chemical and Environmental Engineeering
CEE212,Bioseparations and Bioprocess Engineering,4,Chemical and Environmental Engineeering
CEE212,Bioseparations and Bioprocess Engineering,4,Chemical and Environmental Engineeering
CEE215,Environmental Microbial Ecology,4,Chemical and Environmental Engineeering
CEE215,Environmental Microbial Ecology,4,Chemical and Environmental Engineeering
CEE220,"Modeling Chemical, Biochemical, and Environmental Processes",4,Chemical and Environmental Engineeering
CEE220,"Modeling Chemical, Biochemical, and Environmental Processes",4,Chemical and Environmental Engineeering
CEE221,Introduction to Microfluidics,4,Chemical and Environmental Engineeering
CEE221,Introduction to Microfluidics,4,Chemical and Environmental Engineeering
CEE222,Fundamentals of Heterogeneous Catalysis,4,Chemical and Environmental Engineeering
CEE222,Fundamentals of Heterogeneous Catalysis,4,Chemical and Environmental Engineeering
CEE224,Synthesis and Characterization of Nanomaterials,3,Chemical and Environmental Engineeering
CEE224,Synthesis and Characterization of Nanomaterials,3,Chemical and Environmental Engineeering
CEE225,Physical-Chemical Separation Processes,4,Chemical and Environmental Engineeering
CEE225,Physical-Chemical Separation Processes,4,Chemical and Environmental Engineeering
CEE226,Biological Unit Processes,4,Chemical and Environmental Engineeering
CEE226,Biological Unit Processes,4,Chemical and Environmental Engineeering
CEE230,Biosensors,4,Chemical and Environmental Engineeering
CEE230,Biosensors,4,Chemical and Environmental Engineeering
CEE231,"Scattering and Reflectometry For Environmental, Material, and Biological Applications",4,Chemical and Environmental Engineeering
CEE231,"Scattering and Reflectometry For Environmental, Material, and Biological Applications",4,Chemical and Environmental Engineeering
CEE232,Green Engineering,4,Chemical and Environmental Engineeering
CEE232,Green Engineering,4,Chemical and Environmental Engineeering
CEE233,Advanced Air Pollution Control and Engineering,4,Chemical and Environmental Engineeering
CEE233,Advanced Air Pollution Control and Engineering,4,Chemical and Environmental Engineeering
CEE234,"Vehicle Emissions Control Technology, Measurement Procedures, and Alternative Fuels",4,Chemical and Environmental Engineeering
CEE234,"Vehicle Emissions Control Technology, Measurement Procedures, and Alternative Fuels",4,Chemical and Environmental Engineeering
CEE235,Electrochemical Engineering,4,Chemical and Environmental Engineeering
CEE235,Electrochemical Engineering,4,Chemical and Environmental Engineeering
CEE236,"Energy: Production, Use, Economics, and Sustainability",4,Chemical and Environmental Engineeering
CEE236,"Energy: Production, Use, Economics, and Sustainability",4,Chemical and Environmental Engineeering
CEE238A,Bioprocess Design Laboratory I,2,Chemical and Environmental Engineeering
CEE238A,Bioprocess Design Laboratory I,2,Chemical and Environmental Engineeering
CEE238B,Bioprocess Design Laboratory II,3,Chemical and Environmental Engineeering
CEE238B,Bioprocess Design Laboratory II,3,Chemical and Environmental Engineeering
CEE238C,Bioprocess Design Laboratory III,3,Chemical and Environmental Engineeering
CEE238C,Bioprocess Design Laboratory III,3,Chemical and Environmental Engineeering
CEE240,Advanced Computation For Materials Design,4,Chemical and Environmental Engineeering
CEE240,Advanced Computation For Materials Design,4,Chemical and Environmental Engineeering
CEE241,Aquatic Chemistry,4,Chemical and Environmental Engineeering
CEE241,Aquatic Chemistry,4,Chemical and Environmental Engineeering
CEE242,Pilot Plant Laboratory,4,Chemical and Environmental Engineeering
CEE242,Pilot Plant Laboratory,4,Chemical and Environmental Engineeering
CEE243,Advanced Water Treatment Technologies,4,Chemical and Environmental Engineeering
CEE243,Advanced Water Treatment Technologies,4,Chemical and Environmental Engineeering
CEE245,Advanced Hydraulic Engineering,4,Chemical and Environmental Engineeering
CEE245,Advanced Hydraulic Engineering,4,Chemical and Environmental Engineeering
CEE246,Surface and Interface Phenomena,4,Chemical and Environmental Engineeering
CEE246,Surface and Interface Phenomena,4,Chemical and Environmental Engineeering
CEE247,Molecular Thermodynamics of Complex Fluids,4,Chemical and Environmental Engineeering
CEE247,Molecular Thermodynamics of Complex Fluids,4,Chemical and Environmental Engineeering
CEE248,Quantitative Analysis of Upstream Processes in Biotechnology,4,Chemical and Environmental Engineeering
CEE248,Quantitative Analysis of Upstream Processes in Biotechnology,4,Chemical and Environmental Engineeering
CEE249,Integration of Computational and Experimental Biology,4,Chemical and Environmental Engineeering
CEE249,Integration of Computational and Experimental Biology,4,Chemical and Environmental Engineeering
CEE250,Special Topics in Chemical and Environmental Engineering 1 or,2,Chemical and Environmental Engineeering
CEE250,Special Topics in Chemical and Environmental Engineering 1 or,2,Chemical and Environmental Engineeering
CEE251,Microbial Engineering and Environmental Biotechnology 1 or,2,Chemical and Environmental Engineeering
CEE251,Microbial Engineering and Environmental Biotechnology 1 or,2,Chemical and Environmental Engineeering
CEE253,Biodegradation and Bioremediation 1 or,2,Chemical and Environmental Engineeering
CEE253,Biodegradation and Bioremediation 1 or,2,Chemical and Environmental Engineeering
CEE254,Organic Electronic Materials,2,Chemical and Environmental Engineeering
CEE254,Organic Electronic Materials,2,Chemical and Environmental Engineeering
CEE255,Special Topics in Water Quality Engineering 1 or,2,Chemical and Environmental Engineeering
CEE255,Special Topics in Water Quality Engineering 1 or,2,Chemical and Environmental Engineeering
CEE256,Special Topics in Particulate Measurement and Air Quality 1 or,2,Chemical and Environmental Engineeering
CEE256,Special Topics in Particulate Measurement and Air Quality 1 or,2,Chemical and Environmental Engineeering
CEE257,Special Topics of Bio- Nanotechnology 1 to,2,Chemical and Environmental Engineeering
CEE257,Special Topics of Bio-Nanotechnology 1 to,2,Chemical and Environmental Engineeering
CEE258,Biosensing and Biodetoxification 1 or,2,Chemical and Environmental Engineeering
CEE258,Biosensing and Biodetoxification 1 or,2,Chemical and Environmental Engineeering
CEE259,Special Topics in Materials Electrochemistry,1,Chemical and Environmental Engineeering
CEE259,Special Topics in Materials Electrochemistry,1,Chemical and Environmental Engineeering
CEE260,Structural Ordering in Colloidal Dispersions 1 or,2,Chemical and Environmental Engineeering
CEE260,Structural Ordering in Colloidal Dispersions 1 or,2,Chemical and Environmental Engineeering
CEE261,"Special Topics in Zeolites, Fuel Cells, and Nanostructured Materials 1 or",2,Chemical and Environmental Engineeering
CEE261,"Special Topics in Zeolites, Fuel Cells, and Nanostructured Materials 1 or",2,Chemical and Environmental Engineeering
CEE262,Special Topics in Systems Biology 1 or,2,Chemical and Environmental Engineeering
CEE262,Special Topics in Systems Biology 1 or,2,Chemical and Environmental Engineeering
CEE263,Membrane Separations,2,Chemical and Environmental Engineeering
CEE263,Membrane Separations,2,Chemical and Environmental Engineeering
CEE265,Special Topics in Microbial Fate and Transport in Aquatic Environments 1 or,2,Chemical and Environmental Engineeering
CEE265,Special Topics in Microbial Fate and Transport in Aquatic Environments 1 or,2,Chemical and Environmental Engineeering
CEE266,Special Topics in Biological Conversion of Biomass 1 or,2,Chemical and Environmental Engineeering
CEE266,Special Topics in Biological Conversion of Biomass 1 or,2,Chemical and Environmental Engineeering
CEE267,Special Topics in Bionanotechnology,2,Chemical and Environmental Engineeering
CEE267,Special Topics in Bionanotechnology,2,Chemical and Environmental Engineeering
CEE268,Special Topics in Environmental Chemistry,2,Chemical and Environmental Engineeering
CEE268,Special Topics in Environmental Chemistry,2,Chemical and Environmental Engineeering
CEE269,Special Topics in Aerosols and Climate,2,Chemical and Environmental Engineeering
CEE269,Special Topics in Aerosols and Climate,2,Chemical and Environmental Engineeering
CEE286,Colloquium in Chemical and Environmental Engineering,1,Chemical and Environmental Engineeering
CEE286,Colloquium in Chemical and Environmental Engineering,1,Chemical and Environmental Engineeering
CEE290,Directed Studies 1 to,6,Chemical and Environmental Engineeering
CEE290,Directed Studies 1 to,6,Chemical and Environmental Engineeering
CEE292,Concurrent Studies in Chemical and Environmental Engineering 1 to,4,Chemical and Environmental Engineeering
CEE292,Concurrent Studies in Chemical and Environmental Engineering 1 to,4,Chemical and Environmental Engineeering
CEE297,Directed Research 1 to,6,Chemical and Environmental Engineeering
CEE297,Directed Research 1 to,6,Chemical and Environmental Engineeering
CEE298I,Individual Internship 1 to,12,Chemical and Environmental Engineeering
CEE298I,Individual Internship 1 to,12,Chemical and Environmental Engineeering
CEE299,Research For the Thesis Or Dissertation 1 to,12,Chemical and Environmental Engineeering
CEE299,Research For the Thesis Or Dissertation 1 to,12,Chemical and Environmental Engineeering
CHE100,Engineering Thermodynamics,4,Chemical Engineering
CHE102,Catalytic Reaction Engineering,4,Chemical Engineering
CHE105,Introduction to Nanoscale Engineering,4,Chemical Engineering
CHE110A,Chemical Process Analysis,3,Chemical Engineering
CHE110B,Chemical Process Analysis,3,Chemical Engineering
CHE114,Applied Fluid Mechanics,4,Chemical Engineering
CHE116,Heat Transfer,4,Chemical Engineering
CHE117,Separation Processes,4,Chemical Engineering
CHE118,Process Dynamics and Control,4,Chemical Engineering
CHE120,Mass Transfer,4,Chemical Engineering
CHE122,Chemical Engineering Kinetics,4,Chemical Engineering
CHE124,Biochemical Engineering Principles,4,Chemical Engineering
CHE124L,Biochemical Engineering Laboratory,2,Chemical Engineering
CHE130,Advanced Engineering Thermodynamics,4,Chemical Engineering
CHE131,Electrochemical Engineering,4,Chemical Engineering
CHE136,Advanced Topics in Heat Transfer,4,Chemical Engineering
CHE140,Cell Engineering,4,Chemical Engineering
CHE150,Biosensors,4,Chemical Engineering
CHE160A,Chemical and Environmental Engineering Laboratory,3,Chemical Engineering
CHE160B,Chemical Engineering Laboratory,3,Chemical Engineering
CHE160C,Chemical Engineering Laboratory,3,Chemical Engineering
CHE161,Nanotechnology Processing Laboratory,3,Chemical Engineering
CHE171,Pollution Control For Chemical Engineers,4,Chemical Engineering
CHE175A,Chemical Process Design,4,Chemical Engineering
CHE175B,Chemical Process Design,4,Chemical Engineering
CHE190,Special Studies 1 to,5,Chemical Engineering
CHEM001,Preparation For General Chemistry,2,Chemistry 
CHEM001A,General Chemistry,4,Chemistry 
CHEM001B,General Chemistry,4,Chemistry 
CHEM001C,General Chemistry,4,Chemistry 
CHEM001W,Preparation For General Chemistry,3,Chemistry 
CHEM002A,General Chemistry For Chemistry Majors,4,Chemistry 
CHEM002B,General Chemistry For Chemistry Majors,4,Chemistry 
CHEM002C,General Chemistry For Chemistry Majors,4,Chemistry 
CHEM003,Concepts of Chemistry,4,Chemistry 
CHEM005,Quantitative Analysis,5,Chemistry 
CHEM008A,Organic Chemistry,3,Chemistry 
CHEM008B,Organic Chemistry,3,Chemistry 
CHEM008C,Organic Chemistry,3,Chemistry 
CHEM093,"Adventures in Chemistry: Careers, Research, Ethics and More",1,Chemistry 
CHEM097H,Freshman Honors Project: Introduction to Research 1 to,4,Chemistry 
CHEM109,Survey of Physical Chemistry,4,Chemistry 
CHEM110A,Physical Chemistry: Chemical Thermodynamics,4,Chemistry 
CHEM110B,Physical Chemistry: Introduction to Statistical Mechanics and Kinetics,4,Chemistry 
CHEM111,Physical Chemistry Laboratory,4,Chemistry 
CHEM113,Physical Chemistry: Introduction to Quantum Chemistry,4,Chemistry 
CHEM114,Advanced Physical Chemistry Laboratory,4,Chemistry 
CHEM125,Instrumental Methods 3 or,5,Chemistry 
CHEM135,Atmospheric Chemistry,4,Chemistry 
CHEM136,Chemistry of Natural Waters,4,Chemistry 
CHEM140,Environmental Chemistry Laboratory,4,Chemistry 
CHEM141,Foundations of Chemistry Education Research,3,Chemistry 
CHEM143,Chemical Biology,3,Chemistry 
CHEM150A,Inorganic Chemistry,4,Chemistry 
CHEM150B,Inorganic Chemistry,4,Chemistry 
CHEM155,Advanced Inorganic Chemistry: Synthesis and Methods,4,Chemistry 
CHEM166,Advance Organic Chemistry: Synthesis and Methods,4,Chemistry 
CHEM190,Special Studies 1 to,5,Chemistry 
CHEM191,Seminar in Chemistry Careers,1,Chemistry 
CHEM197,Research For Undergraduates 1 to,4,Chemistry 
CHEM198I,Individual Internship 1 to,12,Chemistry 
CHEM199,Senior Research 1 to,4,Chemistry 
CHEM199H,Senior Honors Research 1 to,5,Chemistry 
CHEM201A,Advanced Physical Chemistry: Quantum Mechanics,3,Chemistry 
CHEM201B,Advanced Physical Chemistry: Quantum Mechanics and Spectroscopy,3,Chemistry 
CHEM201C,Advanced Physical Chemistry: Elementary Statistical Mechanics,3,Chemistry 
CHEM201D,Advanced Physical Chemistry: Thermodynamics,3,Chemistry 
CHEM201E,Advanced Physical Chemistry: Kinetics,3,Chemistry 
CHEM203,Nanoscience and Nanotechnology,3,Chemistry 
CHEM206A,Introduction to Computational Quantum Chemistry,3,Chemistry 
CHEM206B,Modeling Chemical and Biochemical Molecules,3,Chemistry 
CHEM207,Chemical Group Theory,3,Chemistry 
CHEM208,Interdisciplinary Overview of Current Issues in Semiconductor Processing,3,Chemistry 
CHEM209,(E-Z) Advanced Topics in Physical Chemistry 2 to,3,Chemistry 
CHEM209M,Magnetic Resonance,3,Chemistry 
CHEM209S,Potential Surfaces,3,Chemistry 
CHEM209W,Laser Chemistry and Spectroscopy,3,Chemistry 
CHEM209Y,Nonlinear Coherent Spectroscopy,3,Chemistry 
CHEM209Z,Surface Chemistry,3,Chemistry 
CHEM211A,Structure and Mechanism in Organic Chemistry,3,Chemistry 
CHEM211B,Advanced Organic Chemistry: Reactions and Mechanism,3,Chemistry 
CHEM211C,Advanced Synthetic Analysis,3,Chemistry 
CHEM211D,Spectrometry in Organic Structure Analysis,3,Chemistry 
CHEM211E,Advanced Organic Reactions,3,Chemistry 
CHEM216,Physical Organic Chemistry,3,Chemistry 
CHEM217,Polymers: Synthesis and Characterization,3,Chemistry 
CHEM221A,Advanced Analytical Chemistry: Separation Science,3,Chemistry 
CHEM221B,Advanced Analytical Chemistry: Optical Spectroscopy,3,Chemistry 
CHEM221C,Advanced Analytical Chemistry: Electrochemistry,3,Chemistry 
CHEM221D,Advanced Analytical Chemistry: Mass Spectroscopy,3,Chemistry 
CHEM221E,Advanced Analytical Chemistry: Introduction to Bioanalytical Chemistry,3,Chemistry 
CHEM221F,Advanced Analytical Chemistry: Advanced Chemical Biology,3,Chemistry 
CHEM222,Fundamentals of Heterogeneous Catalysis,4,Chemistry 
CHEM223,Nature of the Chemical Bond,3,Chemistry 
CHEM229,(E-Z) Advanced Topics in Analytical Chemistry,2,Chemistry 
CHEM229M,Analysis of Atmospheric Chemicals,3,Chemistry 
CHEM229N,Nanoscale Analyses,3,Chemistry 
CHEM229P,Fourier Transform in Chemical Analysis,2,Chemistry 
CHEM229Q,Nuclear Magnetic Resonance Spectrometry,3,Chemistry 
CHEM229R,Fourier Transform Infrared Spectrometry,3,Chemistry 
CHEM229S,Mass Spectrometry,3,Chemistry 
CHEM229T,Luminescence Spectroscopy,3,Chemistry 
CHEM229U,Chemometrics,3,Chemistry 
CHEM229W,Environmental Analytical Chemistry,3,Chemistry 
CHEM229X,Electrochemistry at Ultramicroelectrodes,3,Chemistry 
CHEM229Z,Separation Science,3,Chemistry 
CHEM231A,Structure and Bonding in Inorganic Chemistry,3,Chemistry 
CHEM231B,Reactivity and Mechanism in Inorganic and Organometallic Chemistry,3,Chemistry 
CHEM231C,Solid State and Materials in Inorganic Chemistry,3,Chemistry 
CHEM231D,Experimental and Computational Solid State and Materials Chemistry,3,Chemistry 
CHEM239,(E-Z) Adv Topics: Inorganic Chemstry 2 to,3,Chemistry 
CHEM239O,Molecular Structure By Diffraction Methods,3,Chemistry 
CHEM239S,Theory and Molecular Modeling,3,Chemistry 
CHEM239T,"Fullerenes, Nanotubes, and Carbon-Based Materials",3,Chemistry 
CHEM239X,Modern Applications of Transition Metals in Organic Synthesis,3,Chemistry 
CHEM241,Foundations of Chemistry Education Research,4,Chemistry 
CHEM242,Combinatorial Chemistry and Chemical Genomics,3,Chemistry 
CHEM245,Chemistry and Physics of Aerosols,4,Chemistry 
CHEM246,Fate and Transport of Chemicals in the Environment,4,Chemistry 
CHEM250,Graduate Seminar in Chemistry,1,Chemistry 
CHEM251,Graduate Seminar in Analytical Chemistry,2,Chemistry 
CHEM252,Graduate Seminar in Inorganic Chemistry,2,Chemistry 
CHEM253,Graduate Seminar in Organic Chemistry,2,Chemistry 
CHEM254,Graduate Seminar in Physical Chemistry,2,Chemistry 
CHEM256,Chemistry of Nanostructured Materials,2,Chemistry 
CHEM258,Seminar in Surface Science,1,Chemistry 
CHEM259,Bioanalytical Chemistry,2,Chemistry 
CHEM260,Organic and Organometallic Methodology and Synthesis,2,Chemistry 
CHEM261,Scanning Probe Microscopy in Surface Science,2,Chemistry 
CHEM262,Ultrafast Dynamics in Condensed Matter,2,Chemistry 
CHEM263,Analysis and Synthesis at the Chemistry-Biology Interface,2,Chemistry 
CHEM265,Raman Spectroscopy of Biological Systems,2,Chemistry 
CHEM266,Molecular Recognition and Catalysis,2,Chemistry 
CHEM267,Organic Electronic Materials,2,Chemistry 
CHEM269,New Trends in Main Group Chemistry,2,Chemistry 
CHEM270,Theoretical Quantum Chemistry: Methods and Applications,2,Chemistry 
CHEM271,"Design, Synthesis, and Applications of Highly Conjugated Organic Systems",2,Chemistry 
CHEM272,Gaseous Ion Chemistry,2,Chemistry 
CHEM273,Bioanalytical Nuclear Magnetic Resonance Spectroscopy,2,Chemistry 
CHEM274,Chemical Biology,2,Chemistry 
CHEM275,Bioorganic Chemistry of Nucleic Acids,2,Chemistry 
CHEM276,The Nanocrystal-Ligand Interface,2,Chemistry 
CHEM277,Surface Chemistry,2,Chemistry 
CHEM278,"Nuclear Magnetic Resonance: Theory, Techniques, and Applications",2,Chemistry 
CHEM279,Molecular Spectroscopy,2,Chemistry 
CHEM280,Chemistry and Biochemistry of Gaseous Molecules,2,Chemistry 
CHEM282,Elementary Processes in Atmospheric Chemistry,2,Chemistry 
CHEM283,Development of Inorganic Solid State Materials,2,Chemistry 
CHEM284,Biological Mass Spectrometry,2,Chemistry 
CHEM285,Bio-Inspired Materials and Chemical Sensors,2,Chemistry 
CHEM286,Time-Resolved Spectroscopy and Microscopy and Dynamics in Complex Systems,2,Chemistry 
CHEM287,Modeling Molecular Recognition,2,Chemistry 
CHEM288,Bioanalytical Applications of Nuclear Magnetic Resonance (nmr) and Mass Spectrometry (ms),2,Chemistry 
CHEM289,Special Topics in Neuroscience,2,Chemistry 
CHEM296,Special Topics Seminar,2,Chemistry 
CHEM297,Directed Research 1 to,6,Chemistry 
CHEM299,Research For Thesis Or Dissertation 1 to,12,Chemistry 
CHEM301,Oral Presentations in Chemistry,1,Chemistry 
CHEM302,Teaching Practicum 1 to,2,Chemistry 
CHEM401,Professional Development in Chemistry,1,Chemistry 
CHFY001,(E-Z) CHASS F1rst Humanities Course,4,Unknown
CHFY001E,CHASS F1rst Humanities Course: Literature,4,Unknown
CHFY001F,CHASS F1rst Humanities Course: Religious Studies,4,Unknown
CHFY001I,CHASS F1rst Humanities Course: History,4,Unknown
CHFY001J,CHASS F1rst Humanities Course: Comparative Literature,4,Unknown
CHFY001K,CHASS F1rst Humanities Course: Hispanic Studies,4,Unknown
CHFY001M,CHASS F1rst Humanities Course: Philosophy,4,Unknown
CHFY002,(E-Z) CHASS F1rst Fine Arts Course,4,Unknown
CHFY002E,"CHASS F1rst Fine Arts Course: Theatre, Film, and Digital Production",4,Unknown
CHFY002F,CHASS F1rst Fine Arts Course: Music,4,Unknown
CHFY002G,CHASS F1rst Fine Arts Course: Media and Cultural Studies,4,Unknown
CHFY002I,CHASS F1rst Fine Arts Course: Dance,4,Unknown
CHFY002J,CHASS F1rst Fine Arts Course: Art History,4,Unknown
CHFY002K,CHASS F1rst Fine Arts Course: Creative Writing,4,Unknown
CHFY003,(E-Z) CHASS F1rst Social Science Course,4,Unknown
CHFY003E,CHASS F1rst Social Science Course: Anthropology,4,Unknown
CHFY003F,CHASS F1rst Social Science Course: Economics,4,Unknown
CHFY003G,CHASS F1rst Social Science Course: Political Science,4,Unknown
CHFY003I,CHASS F1rst Social Science Course: Sociology,4,Unknown
CHFY003J,CHASS F1rst Social Science Course: Psychology,4,Unknown
CHFY003K,CHASS F1rst Social Science Course: Gender and Sexuality Studies,4,Unknown
CHFY003M,CHASS F1rst Social Science Course: Ethnic Studies,4,Unknown
CHFY004,Educational Research,4,Unknown
CHFY007,CHASS F1rst Learning Community Workshop,2,Unknown
CHFY010,CHASS Gateway Lecture Course,5,Unknown
CHFY020,Theory and Practice of Peer Instruction,4,Unknown
CHFY198I,CHASS F1rst Individual Internship 1 to,4,Unknown
CHN001,First-Year Chinese,4,Chinese
CHN002,First-Year Chinese,4,Chinese
CHN003,First-Year Chinese,4,Chinese
CHN004,Second-Year Chinese,4,Chinese
CHN005,Second-Year Chinese,4,Chinese
CHN006,Second-Year Chinese,4,Chinese
CHN020A,First-Year Chinese For Heritage Learners,4,Chinese
CHN020B,First-Year Chinese For Heritage Learners,4,Chinese
CHN030,Introduction to Chinese Civilization,5,Chinese
CHN040,Masterworks of Chinese Literature,4,Chinese
CHN046,Responses to Political Repression in Modern Chinese Literature and Film,4,Chinese
CHN046W,Responses to Political Repression in Modern Chinese Literature and Film,4,Chinese
CHN048,Chinese Cinema,4,Chinese
CHN090,Special Studies 1 to,5,Chinese
CHN101A,Third-Year Chinese,4,Chinese
CHN101B,Third-Year Chinese,4,Chinese
CHN101C,Third-Year Chinese,4,Chinese
CHN104,Introduction to Classical Chinese Texts,4,Chinese
CHN106,Readings in Classical Chinese Philosophy,4,Chinese
CHN107,Taoist Traditions,4,Chinese
CHN110,(E-Z) Readings in 20th Century Chinese Literature,4,Chinese
CHN110E,Readings in 20th Century Chinese Literature,4,Chinese
CHN110M,Readings in 20th Century Chinese Literature,4,Chinese
CHN110P,Readings in 20th Century Chinese Literature,4,Chinese
CHN110S,Readings in 20th Century Chinese Literature,4,Chinese
CHN110T,Readings in 20th Century Chinese Literature,4,Chinese
CHN112,Asian Philosophy,4,Chinese
CHN115,(E-Z) Readngs in 13-19 Cen Chn Lit,4,Chinese
CHN118,(E-Z) Mstrwrks of Chn Lit in Trnsltn,4,Chinese
CHN132,Medical Traditions in China and Greece,4,Chinese
CHN134,Modern Chinese Literature in Translation,4,Chinese
CHN135,Great Novels of China,4,Chinese
CHN136,Family and Gender in the Chinese Short Story,4,Chinese
CHN137,Contemporary Chinese Literature in Translation,4,Chinese
CHN141,Militarism and Hegemony in the Ancient World,4,Chinese
CHN142,Zhuangzi,4,Chinese
CHN143,Divination and Prediction in China and Greece,4,Chinese
CHN148,Chinese Poetry and Poetics in Translation,4,Chinese
CHN185,New Chinese Cinema,4,Chinese
CHN190,Special Studies 1 to,5,Chinese
CHN195,Senior Thesis 2 to,4,Chinese
CLA010A,Ancient Civilization: Early Greece and the Mediterranean,4,Classical Studies
CLA010B,Ancient Civilization: Classical Greece,4,Classical Studies
CLA010C,Ancient Civilization: Rome,4,Classical Studies
CLA010D,Ancient Civilization: Alexander the Great and the Hellenistic World,4,Classical Studies
CLA017,Rome: the Ancient City,4,Classical Studies
CLA020,Word Power From Greek and Latin Roots,4,Classical Studies
CLA030,Scientific Word Power From Latin and Greek Roots,4,Classical Studies
CLA040,Classical Mythology,4,Classical Studies
CLA045,The Ancient World in Film and Television,4,Classical Studies
CLA050,"Folktales, Monsters, and Magic in Ancient Greece and Rome",4,Classical Studies
CLA100,Ancient Historians,4,Classical Studies
CLA102,Ancient Civilizations and Later Identities,4,Classical Studies
CLA112,Mythology,4,Classical Studies
CLA113,Comparative Ancient Historical Writing,4,Classical Studies
CLA114,The Classical Tradition,4,Classical Studies
CLA120,(E-Z) Themes and Issues of the Classical World,4,Classical Studies
CLA121,Monarchy,4,Classical Studies
CLA121S,Monarchy,5,Classical Studies
CLA132,Medical Traditions in China and Greece,4,Classical Studies
CLA141,Militarism and Hegemony in the Ancient World,4,Classical Studies
CLA143,Divination and Prediction in China and Greece,4,Classical Studies
CLA190,Special Studies 1 to,5,Classical Studies
CLA200A,Contemporary Literary Theory and the Classics,4,Classical Studies
CLA200A,Contemporary Literary Theory and the Classics,4,Classical Studies
CLA200B,Diachronic Perspectives On Classical Antiquity,4,Classical Studies
CLA200B,Diachronic Perspectives On Classical Antiquity,4,Classical Studies
CLA200C,Greece and Rome in Their Contemporary Cultural Contexts,4,Classical Studies
CLA200C,Greece and Rome in Their Contemporary Cultural Contexts,4,Classical Studies
CLA201,Research Methods in Classical Studies,4,Classical Studies
CLA250,Seminar in Classics,4,Classical Studies
CLA250,Seminar in Classics,4,Classical Studies
CLA290,Directed Studies 1 to,6,Classical Studies
CLA290,Directed Studies 1 to,6,Classical Studies
CLA292,Concurrent Studies in Classics,2,Classical Studies
CLA292,Concurrent Studies in Classics,2,Classical Studies
CLA297,Directed Research 1 to,6,Classical Studies
CLA297,Directed Research 1 to,6,Classical Studies
CLA299,Research For the Thesis Or Dissertation 1 to,12,Classical Studies
CLA299,Research For the Thesis Or Dissertation 1 to,12,Classical Studies
CMDB200,Cell Biology,4,"Cell , Molecular, and Developmental Biology"
CMDB201,Molecular Biology,4,"Cell , Molecular, and Developmental Biology"
CMDB202,Developmental Biology,4,"Cell , Molecular, and Developmental Biology"
CMDB203,Advanced Genetic Analysis in Model Organisms,4,"Cell , Molecular, and Developmental Biology"
CMDB204,Genome Maintenance and Stability,4,"Cell , Molecular, and Developmental Biology"
